Date,Collect,Feast,Color
02-01,"O Lord, we beseech thee favourably to hear the prayers of thy people, that we, who are justly punished for our offences, may be mercifully delivered by thy goodness, for the glory of thy name, through Jesus Christ our Saviour, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Third Sunday before Lent (Septuagesima Sunday),Purple
02-02,"Almighty and everliving God, we humbly beseech thy Majesty, that, as thy only-begotten Son was this day presented in the temple in substance of our flesh, so we may be presented unto thee with pure and clean hearts, by the same thy Son Jesus Christ our Lord. Amen.",The Purification of Saint Mary the Virgin (Candlemas),White
02-03,"O Lord, we beseech thee favourably to hear the prayers of thy people, that we, who are justly punished for our offences, may be mercifully delivered by thy goodness, for the glory of thy name, through Jesus Christ our Saviour, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Tuesday After Septuagesima Sunday,Purple
02-04,"O Lord, we beseech thee favourably to hear the prayers of thy people, that we, who are justly punished for our offences, may be mercifully delivered by thy goodness, for the glory of thy name, through Jesus Christ our Saviour, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Wednesday After Septuagesima Sunday,Purple
02-05,"O Lord, we beseech thee favourably to hear the prayers of thy people, that we, who are justly punished for our offences, may be mercifully delivered by thy goodness, for the glory of thy name, through Jesus Christ our Saviour, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Thursday After Septuagesima Sunday,Purple
02-06,"O Lord, we beseech thee favourably to hear the prayers of thy people, that we, who are justly punished for our offences, may be mercifully delivered by thy goodness, for the glory of thy name, through Jesus Christ our Saviour, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Friday After Septuagesima Sunday,Purple
02-07,"O Lord, we beseech thee favourably to hear the prayers of thy people, that we, who are justly punished for our offences, may be mercifully delivered by thy goodness, for the glory of thy name, through Jesus Christ our Saviour, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Saturday After Septuagesima Sunday,Purple
02-08,"O Lord God, who seest that we put not our trust in anything that we do: Mercifully grant that by thy power we may be defended against all adversity, through Jesus Christ our Lord. Amen.",The Second Sunday before Lent (Sexagesima Sunday),Purple
02-09,"O Lord God, who seest that we put not our trust in anything that we do: Mercifully grant that by thy power we may be defended against all adversity, through Jesus Christ our Lord. Amen.",The Monday After Sexagesima Sunday,Purple
02-10,"O Lord God, who seest that we put not our trust in anything that we do: Mercifully grant that by thy power we may be defended against all adversity, through Jesus Christ our Lord. Amen.",The Tuesday After Sexagesima Sunday,Purple
02-11,"O Lord God, who seest that we put not our trust in anything that we do: Mercifully grant that by thy power we may be defended against all adversity, through Jesus Christ our Lord. Amen.",The Wednesday After Sexagesima Sunday,Purple
02-12,"O Lord God, who seest that we put not our trust in anything that we do: Mercifully grant that by thy power we may be defended against all adversity, through Jesus Christ our Lord. Amen.",The Thursday After Sexagesima Sunday,Purple
02-13,"O Lord God, who seest that we put not our trust in anything that we do: Mercifully grant that by thy power we may be defended against all adversity, through Jesus Christ our Lord. Amen.",The Friday After Sexagesima Sunday,Purple
02-14,"O Lord God, who seest that we put not our trust in anything that we do: Mercifully grant that by thy power we may be defended against all adversity, through Jesus Christ our Lord. Amen.",The Saturday After Sexagesima Sunday,Purple
02-15,"O Lord, who hast taught us that all our doings without charity are nothing worth: Send thy Holy Ghost and pour into our hearts that most excellent gift of charity, the very bond of peace and of all virtues, without which whosoever liveth is counted dead before thee. Grant this for thine only Son Jesus Christ’s sake. Amen.",The Next Sunday before Lent (Quinquagesima Sunday),Purple
02-16,"O Lord, who hast taught us that all our doings without charity are nothing worth: Send thy Holy Ghost and pour into our hearts that most excellent gift of charity, the very bond of peace and of all virtues, without which whosoever liveth is counted dead before thee. Grant this for thine only Son Jesus Christ’s sake. Amen.",The Monday After Quinquagesima Sunday,Purple
02-17,"O Lord, who hast taught us that all our doings without charity are nothing worth: Send thy Holy Ghost and pour into our hearts that most excellent gift of charity, the very bond of peace and of all virtues, without which whosoever liveth is counted dead before thee. Grant this for thine only Son Jesus Christ’s sake. Amen.",Shrove Tuesday (Mardi Gras),Purple
02-18,"Almighty and everlasting God, who hatest nothing that thou hast made, and dost forgive the sins of all those who are penitent: Create and make in us new and contrite hearts, that we, worthily lamenting our sins and acknowledging our wretchedness, may obtain of thee, the God of all mercy, perfect remission and forgiveness, through Jesus Christ our Lord. Amen.",Ash Wednesday,Purple
02-19,"O Lord, who hast taught us that all our doings without charity are nothing worth: Send thy Holy Ghost and pour into our hearts that most excellent gift of charity, the very bond of peace and of all virtues, without which whosoever liveth is counted dead before thee. Grant this for thine only Son Jesus Christ’s sake. Amen.",The Thursday After Ash Wednesday,Purple
02-20,"O Lord, who hast taught us that all our doings without charity are nothing worth: Send thy Holy Ghost and pour into our hearts that most excellent gift of charity, the very bond of peace and of all virtues, without which whosoever liveth is counted dead before thee. Grant this for thine only Son Jesus Christ’s sake. Amen.",The Friday After Ash Wednesday,Purple
02-21,"O Lord, who hast taught us that all our doings without charity are nothing worth: Send thy Holy Ghost and pour into our hearts that most excellent gift of charity, the very bond of peace and of all virtues, without which whosoever liveth is counted dead before thee. Grant this for thine only Son Jesus Christ’s sake. Amen.",The Saturday After Ash Wednesday,Purple
02-22,"O Lord, who for our sake didst fast forty days and forty nights: Give us grace to use such abstinence, that, our flesh being subdued to the Spirit, we may ever obey thy godly motions in righteousness and true holiness, to thy honour and glory, who livest and reignest with the Father and the Holy Ghost, one God, world without end. Amen.",The First Sunday in Lent (Quadragesima Sunday),Purple
02-23,"O Lord, who for our sake didst fast forty days and forty nights: Give us grace to use such abstinence, that, our flesh being subdued to the Spirit, we may ever obey thy godly motions in righteousness and true holiness, to thy honour and glory, who livest and reignest with the Father and the Holy Ghost, one God, world without end. Amen.",The Monday in the First Week of Lent,Purple
02-24,"O almighty God, who into the place of the traitor Judas didst choose thy faithful servant Matthias to be of the number of the twelve apostles: Grant that thy church, being alway preserved from false apostles, may be ordered and guided by faithful and true pastors, through Jesus Christ our Lord. Amen.",Matthias the Apostle,Red
02-25,"O Lord, who for our sake didst fast forty days and forty nights: Give us grace to use such abstinence, that, our flesh being subdued to the Spirit, we may ever obey thy godly motions in righteousness and true holiness, to thy honour and glory, who livest and reignest with the Father and the Holy Ghost, one God, world without end. Amen.",The Wednesday in the First Week of Lent,Purple
02-26,"O Lord, who for our sake didst fast forty days and forty nights: Give us grace to use such abstinence, that, our flesh being subdued to the Spirit, we may ever obey thy godly motions in righteousness and true holiness, to thy honour and glory, who livest and reignest with the Father and the Holy Ghost, one God, world without end. Amen.",The Thursday in the First Week of Lent,Purple
02-27,"O Lord, who for our sake didst fast forty days and forty nights: Give us grace to use such abstinence, that, our flesh being subdued to the Spirit, we may ever obey thy godly motions in righteousness and true holiness, to thy honour and glory, who livest and reignest with the Father and the Holy Ghost, one God, world without end. Amen.",The Friday in the First Week of Lent,Purple
02-28,"O Lord, who for our sake didst fast forty days and forty nights: Give us grace to use such abstinence, that, our flesh being subdued to the Spirit, we may ever obey thy godly motions in righteousness and true holiness, to thy honour and glory, who livest and reignest with the Father and the Holy Ghost, one God, world without end. Amen.",The Saturday in the First Week of Lent,Purple
03-01,"Almighty God, who seest that we have no power of ourselves to help ourselves: Keep us both outwardly in our bodies and inwardly in our souls, that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul, through Jesus Christ our Lord. Amen.",The Second Sunday in Lent,Purple
03-02,"Almighty God, who seest that we have no power of ourselves to help ourselves: Keep us both outwardly in our bodies and inwardly in our souls, that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul, through Jesus Christ our Lord. Amen.",The Monday in the Second Week of Lent,Purple
03-03,"Almighty God, who seest that we have no power of ourselves to help ourselves: Keep us both outwardly in our bodies and inwardly in our souls, that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul, through Jesus Christ our Lord. Amen.",The Tuesday in the Second Week of Lent,Purple
03-04,"Almighty God, who seest that we have no power of ourselves to help ourselves: Keep us both outwardly in our bodies and inwardly in our souls, that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul, through Jesus Christ our Lord. Amen.",The Wednesday in the Second Week of Lent,Purple
03-05,"Almighty God, who seest that we have no power of ourselves to help ourselves: Keep us both outwardly in our bodies and inwardly in our souls, that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul, through Jesus Christ our Lord. Amen.",The Thursday in the Second Week of Lent,Purple
03-06,"Almighty God, who seest that we have no power of ourselves to help ourselves: Keep us both outwardly in our bodies and inwardly in our souls, that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul, through Jesus Christ our Lord. Amen.",The Friday in the Second Week of Lent,Purple
03-07,"Almighty God, who seest that we have no power of ourselves to help ourselves: Keep us both outwardly in our bodies and inwardly in our souls, that we may be defended from all adversities which may happen to the body, and from all evil thoughts which may assault and hurt the soul, through Jesus Christ our Lord. Amen.",The Saturday in the Second Week of Lent,Purple
03-08,"We beseech thee, almighty God, look upon the hearty desires of thy humble servants, and stretch forth the right hand of thy Majesty, to be our defence against all our enemies, through Jesus Christ our Lord. Amen.",The Third Sunday in Lent,Purple
03-09,"We beseech thee, almighty God, look upon the hearty desires of thy humble servants, and stretch forth the right hand of thy Majesty, to be our defence against all our enemies, through Jesus Christ our Lord. Amen.",The Monday in the Third Week of Lent,Purple
03-10,"We beseech thee, almighty God, look upon the hearty desires of thy humble servants, and stretch forth the right hand of thy Majesty, to be our defence against all our enemies, through Jesus Christ our Lord. Amen.",The Tuesday in the Third Week of Lent,Purple
03-11,"We beseech thee, almighty God, look upon the hearty desires of thy humble servants, and stretch forth the right hand of thy Majesty, to be our defence against all our enemies, through Jesus Christ our Lord. Amen.",The Wednesday in the Third Week of Lent,Purple
03-12,"We beseech thee, almighty God, look upon the hearty desires of thy humble servants, and stretch forth the right hand of thy Majesty, to be our defence against all our enemies, through Jesus Christ our Lord. Amen.",The Thursday in the Third Week of Lent,Purple
03-13,"We beseech thee, almighty God, look upon the hearty desires of thy humble servants, and stretch forth the right hand of thy Majesty, to be our defence against all our enemies, through Jesus Christ our Lord. Amen.",The Friday in the Third Week of Lent,Purple
03-14,"We beseech thee, almighty God, look upon the hearty desires of thy humble servants, and stretch forth the right hand of thy Majesty, to be our defence against all our enemies, through Jesus Christ our Lord. Amen.",The Saturday in the Third Week of Lent,Purple
03-15,"Grant, we beseech thee, almighty God, that we, who for our evil deeds do worthily deserve to be punished, by the comfort of thy grace may mercifully be relieved, through our Lord and Saviour Jesus Christ. Amen.",The Fourth Sunday in Lent (Laetare Sunday),Pink
03-16,"Grant, we beseech thee, almighty God, that we, who for our evil deeds do worthily deserve to be punished, by the comfort of thy grace may mercifully be relieved, through our Lord and Saviour Jesus Christ. Amen.",The Monday in the Fourth Week of Lent,Purple
03-17,"Grant, we beseech thee, almighty God, that we, who for our evil deeds do worthily deserve to be punished, by the comfort of thy grace may mercifully be relieved, through our Lord and Saviour Jesus Christ. Amen.",The Tuesday in the Fourth Week of Lent,Purple
03-18,"Grant, we beseech thee, almighty God, that we, who for our evil deeds do worthily deserve to be punished, by the comfort of thy grace may mercifully be relieved, through our Lord and Saviour Jesus Christ. Amen.",The Wednesday in the Fourth Week of Lent,Purple
03-19,"Grant, we beseech thee, almighty God, that we, who for our evil deeds do worthily deserve to be punished, by the comfort of thy grace may mercifully be relieved, through our Lord and Saviour Jesus Christ. Amen.",The Thursday in the Fourth Week of Lent,Purple
03-20,"Grant, we beseech thee, almighty God, that we, who for our evil deeds do worthily deserve to be punished, by the comfort of thy grace may mercifully be relieved, through our Lord and Saviour Jesus Christ. Amen.",The Friday in the Fourth Week of Lent,Purple
03-21,"Grant, we beseech thee, almighty God, that we, who for our evil deeds do worthily deserve to be punished, by the comfort of thy grace may mercifully be relieved, through our Lord and Saviour Jesus Christ. Amen.",The Saturday in the Fourth Week of Lent,Purple
03-22,"We beseech thee, almighty God, mercifully to look upon thy people, that by thy great goodness they may be governed and preserved evermore, both in body and soul, through Jesus Christ our Lord. Amen.",The Fifth Sunday in Lent (Passion Sunday),Purple
03-23,"We beseech thee, almighty God, mercifully to look upon thy people, that by thy great goodness they may be governed and preserved evermore, both in body and soul, through Jesus Christ our Lord. Amen.",The Monday in the Fifth Week of Lent,Purple
03-24,"We beseech thee, almighty God, mercifully to look upon thy people, that by thy great goodness they may be governed and preserved evermore, both in body and soul, through Jesus Christ our Lord. Amen.",The Tuesday in the Fifth Week of Lent,Purple
03-25,"We beseech thee, O Lord, pour thy grace into our hearts, that, as we have known the incarnation of thy Son Jesus Christ by the message of an angel, so by his cross and passion, we may be brought unto the glory of his resurrection, through the same Jesus Christ our Lord. Amen.",The Annunciation of the Blessed Virgin Mary (Lady Day),White
03-26,"We beseech thee, almighty God, mercifully to look upon thy people, that by thy great goodness they may be governed and preserved evermore, both in body and soul, through Jesus Christ our Lord. Amen.",The Thursday in the Fifth Week of Lent,Purple
03-27,"We beseech thee, almighty God, mercifully to look upon thy people, that by thy great goodness they may be governed and preserved evermore, both in body and soul, through Jesus Christ our Lord. Amen.",The Friday in the Fifth Week of Lent,Purple
03-28,"We beseech thee, almighty God, mercifully to look upon thy people, that by thy great goodness they may be governed and preserved evermore, both in body and soul, through Jesus Christ our Lord. Amen.",The Saturday in the Fifth Week of Lent,Purple
03-29,"Almighty and everlasting God, who, of thy tender love towards mankind, hast sent thy Son, our Saviour Jesus Christ, to take upon him our flesh and to suffer death upon the cross, that all mankind should follow the example of his great humility: Mercifully grant that we may both follow the example of his patience, and also be made partakers of his resurrection, through the same Jesus Christ our Lord. Amen.",The Sunday Next before Easter (Palm Sunday),Red
03-30,"Almighty and everlasting God, who, of thy tender love towards mankind, hast sent thy Son, our Saviour Jesus Christ, to take upon him our flesh and to suffer death upon the cross, that all mankind should follow the example of his great humility: Mercifully grant that we may both follow the example of his patience, and also be made partakers of his resurrection, through the same Jesus Christ our Lord. Amen.",Monday before Easter,Red
03-31,"Almighty and everlasting God, who, of thy tender love towards mankind, hast sent thy Son, our Saviour Jesus Christ, to take upon him our flesh and to suffer death upon the cross, that all mankind should follow the example of his great humility: Mercifully grant that we may both follow the example of his patience, and also be made partakers of his resurrection, through the same Jesus Christ our Lord. Amen.",Tuesday before Easter,Red
04-01,"Almighty and everlasting God, who, of thy tender love towards mankind, hast sent thy Son, our Saviour Jesus Christ, to take upon him our flesh and to suffer death upon the cross, that all mankind should follow the example of his great humility: Mercifully grant that we may both follow the example of his patience, and also be made partakers of his resurrection, through the same Jesus Christ our Lord. Amen.",Wednesday before Easter,Red
04-02,"Almighty and everlasting God, who, of thy tender love towards mankind, hast sent thy Son, our Saviour Jesus Christ, to take upon him our flesh and to suffer death upon the cross, that all mankind should follow the example of his great humility: Mercifully grant that we may both follow the example of his patience, and also be made partakers of his resurrection, through the same Jesus Christ our Lord. Amen.",Thursday before Easter (Maundy Thursday),White
04-03,"Almighty God, we beseech thee graciously to behold this thy family, for which our Lord Jesus Christ was contented to be betrayed and given up into the hands of wicked men, and to suffer death upon the cross, who now liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",Good Friday,Red
04-04,"Grant, O Lord, that as we are baptized into the death of thy blessed Son, our Saviour Jesus Christ, so by continually mortifying our corrupt affections we may be buried with him, and that through the grave, and gate of death, we may pass to our joyful resurrection, for his merits, who died and was buried and rose again for us, thy Son Jesus Christ our Lord. Amen.",Easter Even,Red
04-05,"Almighty God, who through thine only-begotten Son Jesus Christ hast overcome death and opened unto us the gate of everlasting life: We humbly beseech thee, that as by thy special grace preventing us thou dost put into our minds good desires, so by thy continual help we may bring the same to good effect, through Jesus Christ our Lord, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",Easter Day,White
04-06,"Almighty God, who through thine only-begotten Son Jesus Christ hast overcome death and opened unto us the gate of everlasting life: We humbly beseech thee, that as by thy special grace preventing us thou dost put into our minds good desires, so by thy continual help we may bring the same to good effect, through Jesus Christ our Lord, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Monday in Easter Week,White
04-07,"Almighty God, who through thine only-begotten Son Jesus Christ hast overcome death and opened unto us the gate of everlasting life: We humbly beseech thee, that as by thy special grace preventing us thou dost put into our minds good desires, so by thy continual help we may bring the same to good effect, through Jesus Christ our Lord, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Tuesday in Easter Week,White
04-08,"Almighty God, who through thine only-begotten Son Jesus Christ hast overcome death and opened unto us the gate of everlasting life: We humbly beseech thee, that as by thy special grace preventing us thou dost put into our minds good desires, so by thy continual help we may bring the same to good effect, through Jesus Christ our Lord, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Wednesday in Easter Week,White
04-09,"Almighty God, who through thine only-begotten Son Jesus Christ hast overcome death and opened unto us the gate of everlasting life: We humbly beseech thee, that as by thy special grace preventing us thou dost put into our minds good desires, so by thy continual help we may bring the same to good effect, through Jesus Christ our Lord, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Thursday in Easter Week,White
04-10,"Almighty God, who through thine only-begotten Son Jesus Christ hast overcome death and opened unto us the gate of everlasting life: We humbly beseech thee, that as by thy special grace preventing us thou dost put into our minds good desires, so by thy continual help we may bring the same to good effect, through Jesus Christ our Lord, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Friday in Easter Week,White
04-11,"Almighty God, who through thine only-begotten Son Jesus Christ hast overcome death and opened unto us the gate of everlasting life: We humbly beseech thee, that as by thy special grace preventing us thou dost put into our minds good desires, so by thy continual help we may bring the same to good effect, through Jesus Christ our Lord, who liveth and reigneth with thee and the Holy Ghost, ever one God, world without end. Amen.",The Saturday in Easter Week,White
04-12,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The First Sunday after Easter,White
04-13,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Monday in the First Week After Easter,White
04-14,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Tuesday in the First Week After Easter,White
04-15,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Wednesday in the First Week After Easter,White
04-16,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Thursday in the First Week After Easter,White
04-17,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Friday in the First Week After Easter,White
04-18,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Saturday in the First Week After Easter,White
04-19,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Second Sunday after Easter,White
04-20,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Monday in the Second Week After Easter,White
04-21,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Tuesday in the Second Week After Easter,White
04-22,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Wednesday in the Second Week After Easter,White
04-23,"Almighty Father, who hast given thine only Son to die for our sins, and to rise again for our justification: Grant us so to put away the leaven of malice and wickedness, that we may alway serve thee in pureness of living and truth, through the merits of the same thy Son Jesus Christ our Lord. Amen.",The Thursday in the Second Week After Easter,White
